h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,label
0,0,3.1399,0,0,82.584,0,0,14.276,0,0,0,0,0,0,0,86.758,13.242,0,0,0,0,3.1399,0,0,0,17.416,65.169,0,0,0,10.102,4.1735,0
0,0,3.9254,0,0,71.008,0,0,25.067,0,0,3.9254,0,0,0,3.9254,71.008,21.142,0,0,0,0,3.9254,0,0,0,14.292,56.716,0,3.9254,0,17.216,3.9254,0
0,0,17.815,0,0,59.832,0,0,22.353,0,0,11.4,0,0,0,8.221,56.653,20.546,0,3.1791,0,0,14.635,0,3.1791,0,14.635,45.197,0,11.4,0,2.7318,8.221,0
0,0,4.7259,0,0,78.978,0,0,16.296,0,0,2.2631,0,0,0,6.7467,74.174,14.553,0,2.2631,0,0,2.4628,0,2.2631,0,29.989,48.99,0,2.2631,0,3.0806,10.952,0
3.9227,0,22.585,0,7.8454,39.14,0,0,22.585,0,3.9227,22.585,0,0,0,3.9227,12.632,22.585,3.9227,30.43,0,3.9227,0,0,22.585,0,16.269,22.871,0,14.161,20.192,3.9227,0,0
0,0,8.1801,0,12.973,57.694,0,0,21.153,0,0,21.153,0,0,0,6.727,23.087,27.88,0,21.153,0,0,0,0,8.1801,0,13.454,44.24,0,8.1801,12.973,12.973,0,0
10.154,2.2328,0,0,31.315,31.683,0,0,14.187,0,10.429,4.0329,4.098,10.154,4.098,15.631,6.3308,6.2657,12.387,14.83,14.252,7.9211,0,2.2328,2.2328,0,10.154,10.732,10.797,16.485,20.15,17.063,10.154,0
15.204,11.117,1.3211,0,24.227,28.079,0,0,15.485,0,4.5671,4.4558,2.6422,12.843,4.4558,10.344,2.2057,6.1689,26.321,4.7228,12.843,12.998,0,2.2057,7.9825,0,21.754,9.4594,1.3211,19.771,12.998,11.665,12.843,0
12.395,5.1927,0,0,24.79,40.035,0,0,5.1927,0,12.395,0,0,5.1927,0,12.395,23.619,5.1927,17.588,23.618,5.1927,7.2022,0,5.1927,5.1927,0,5.1927,16.415,18.426,24.79,7.2022,12.395,5.1927,0
9.2763,7.1379,0,0,25.101,28.489,2.8641,0,6.3145,6.0954,14.722,4.8174,7.6792,3.4504,6.4012,21.869,4.4479,5.7282,9.9516,15.25,11.13,9.2763,9.3268,3.2313,1.9533,2.8641,10.221,13.392,10.061,13.087,14.941,17.472,3.4504,0
0,0,0,0,0,82.336,17.664,0,0,0,0,0,0,0,0,17.664,82.336,0,0,0,0,0,0,0,0,0,17.664,82.336,0,0,0,0,0,0
0,0,0,0,0,58.245,41.755,0,0,0,0,0,0,0,0,41.755,11.166,0,47.079,0,0,0,0,0,0,0,41.755,58.245,0,0,0,0,0,0
0,0,0,0,0,56.871,43.129,0,0,0,0,0,0,0,0,43.129,27.485,0,29.386,0,0,0,0,0,0,0,43.129,56.871,0,0,0,0,0,0
0,0,10.148,0,11.165,58.39,0,10.148,0,10.148,0,0,0,0,0,22.33,36.06,0,0,11.165,0,30.445,0,10.148,10.148,0,0,28.439,29.951,10.148,0,11.165,0,0
0,4.1426,18.982,4.1426,0,38.614,4.1426,4.1426,11.373,14.461,0,15.083,11.373,0,4.1426,0,18.449,14.65,0,17.077,0,19.226,4.1426,11.129,11.995,4.1426,0,9.2244,18.449,18.171,11.373,11.373,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,91.76,0,0,8.2396,0,0,0,0,0,0,0,45.88,54.12,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,69.951,30.049,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,11.657,88.343,0,0,0,0,0,0
